# 备份成交的订单，过后查看.

2020-07-10 10:46:46,325 - root - INFO - 卖单成交时间: 2020-07-10 10:46:46.325104, 价格: 16.733, 数量: 20
2020-07-10 10:59:20,805 - root - INFO - 买单成交时间: 2020-07-10 10:59:20.804743, 价格: 16.683, 数量: 20
2020-07-10 11:11:58,714 - root - INFO - 买单成交时间: 2020-07-10 11:11:58.714246, 价格: 16.633, 数量: 20
2020-07-10 11:12:02,044 - root - INFO - 卖单成交时间: 2020-07-10 11:12:02.044547, 价格: 16.697, 数量: 20
2020-07-10 11:16:07,919 - root - INFO - 买单成交时间: 2020-07-10 11:16:07.919962, 价格: 16.647, 数量: 20
2020-07-10 11:24:22,697 - root - INFO - 卖单成交时间: 2020-07-10 11:24:22.697462, 价格: 16.697, 数量: 20
2020-07-10 11:49:54,125 - root - INFO - 买单成交时间: 2020-07-10 11:49:54.124970, 价格: 16.647, 数量: 20
2020-07-10 12:29:40,610 - root - INFO - 买单成交时间: 2020-07-10 12:29:40.610558, 价格: 16.583, 数量: 20
2020-07-10 12:36:02,401 - root - INFO - 买单成交时间: 2020-07-10 12:36:02.401120, 价格: 16.533, 数量: 20
2020-07-10 13:01:32,647 - root - INFO - 买单成交时间: 2020-07-10 13:01:32.646832, 价格: 16.483, 数量: 20
2020-07-10 13:03:56,412 - root - INFO - 卖单成交时间: 2020-07-10 13:03:56.411995, 价格: 16.532, 数量: 20
2020-07-10 13:06:10,270 - root - INFO - 卖单成交时间: 2020-07-10 13:06:10.270347, 价格: 16.582, 数量: 20
2020-07-10 13:41:53,086 - root - INFO - 买单成交时间: 2020-07-10 13:41:53.086388, 价格: 16.532, 数量: 20
2020-07-10 13:41:54,938 - root - INFO - 买单成交时间: 2020-07-10 13:41:54.938836, 价格: 16.482, 数量: 20
2020-07-10 13:46:05,813 - root - INFO - 卖单成交时间: 2020-07-10 13:46:05.813032, 价格: 16.568, 数量: 20
2020-07-10 14:59:49,781 - root - INFO - 买单成交时间: 2020-07-10 14:59:49.781687, 价格: 16.518, 数量: 20
2020-07-10 15:02:16,228 - root - INFO - 买单成交时间: 2020-07-10 15:02:16.228588, 价格: 16.482, 数量: 20
2020-07-10 15:03:29,821 - root - INFO - 卖单成交时间: 2020-07-10 15:03:29.820983, 价格: 16.568, 数量: 20
2020-07-10 15:05:57,122 - root - INFO - 买单成交时间: 2020-07-10 15:05:57.122166, 价格: 16.518, 数量: 20
2020-07-10 15:06:24,573 - root - INFO - 买单成交时间: 2020-07-10 15:06:24.573613, 价格: 16.482, 数量: 20
2020-07-10 15:08:50,763 - root - INFO - 买单成交时间: 2020-07-10 15:08:50.762965, 价格: 16.518, 数量: 20
2020-07-10 15:15:22,792 - root - INFO - 卖单成交时间: 2020-07-10 15:15:22.792383, 价格: 16.531, 数量: 20
2020-07-10 15:48:58,891 - root - INFO - 卖单成交时间: 2020-07-10 15:48:58.890941, 价格: 16.568, 数量: 20
2020-07-10 15:59:47,956 - root - INFO - 买单成交时间: 2020-07-10 15:59:47.956447, 价格: 16.518, 数量: 20
2020-07-10 16:09:28,169 - root - INFO - 卖单成交时间: 2020-07-10 16:09:28.169644, 价格: 16.568, 数量: 20
2020-07-10 16:20:37,510 - root - INFO - 卖单成交时间: 2020-07-10 16:20:37.509973, 价格: 16.618, 数量: 20
2020-07-10 16:31:10,191 - root - INFO - 买单成交时间: 2020-07-10 16:31:10.190737, 价格: 16.568, 数量: 20
2020-07-10 16:33:16,702 - root - INFO - 卖单成交时间: 2020-07-10 16:33:16.702239, 价格: 16.618, 数量: 20
2020-07-10 16:37:24,227 - root - INFO - 卖单成交时间: 2020-07-10 16:37:24.227572, 价格: 16.668, 数量: 20
2020-07-10 16:50:33,063 - root - INFO - 买单成交时间: 2020-07-10 16:50:33.063535, 价格: 16.618, 数量: 20
2020-07-10 17:47:28,331 - root - INFO - 卖单成交时间: 2020-07-10 17:47:28.330532, 价格: 16.668, 数量: 20
2020-07-10 18:47:06,361 - root - INFO - 卖单成交时间: 2020-07-10 18:47:06.361417, 价格: 16.718, 数量: 20
2020-07-10 19:32:43,756 - root - INFO - 买单成交时间: 2020-07-10 19:32:43.755971, 价格: 16.685, 数量: 20
2020-07-10 19:34:47,166 - root - INFO - 买单成交时间: 2020-07-10 19:34:47.166252, 价格: 16.635, 数量: 20
2020-07-10 19:53:39,837 - root - INFO - 买单成交时间: 2020-07-10 19:53:39.836948, 价格: 16.585, 数量: 20
2020-07-10 20:06:20,903 - root - INFO - 卖单成交时间: 2020-07-10 20:06:20.903016, 价格: 16.635, 数量: 20
2020-07-10 20:27:47,660 - root - INFO - 买单成交时间: 2020-07-10 20:27:47.660176, 价格: 16.585, 数量: 20
2020-07-10 20:38:17,708 - root - INFO - 卖单成交时间: 2020-07-10 20:38:17.708202, 价格: 16.635, 数量: 20
2020-07-10 20:41:20,016 - root - INFO - 卖单成交时间: 2020-07-10 20:41:20.016056, 价格: 16.685, 数量: 20
2020-07-10 21:35:41,550 - root - INFO - 买单成交时间: 2020-07-10 21:35:41.549982, 价格: 16.635, 数量: 20
2020-07-10 21:42:04,856 - root - INFO - 卖单成交时间: 2020-07-10 21:42:04.856275, 价格: 16.685, 数量: 20
2020-07-10 22:01:41,294 - root - INFO - 卖单成交时间: 2020-07-10 22:01:41.293816, 价格: 16.735, 数量: 20
2020-07-10 22:03:45,246 - root - INFO - 买单成交时间: 2020-07-10 22:03:45.246756, 价格: 16.685, 数量: 20
2020-07-10 22:08:19,104 - root - INFO - 买单成交时间: 2020-07-10 22:08:19.104949, 价格: 16.635, 数量: 20
2020-07-10 22:16:50,386 - root - INFO - 卖单成交时间: 2020-07-10 22:16:50.386678, 价格: 16.685, 数量: 20
2020-07-10 22:18:57,740 - root - INFO - 卖单成交时间: 2020-07-10 22:18:57.740376, 价格: 16.735, 数量: 20
2020-07-10 22:21:16,510 - root - INFO - 卖单成交时间: 2020-07-10 22:21:16.510750, 价格: 16.785, 数量: 20
2020-07-10 22:23:33,222 - root - INFO - 卖单成交时间: 2020-07-10 22:23:33.222256, 价格: 16.785, 数量: 20
2020-07-10 22:26:01,422 - root - INFO - 卖单成交时间: 2020-07-10 22:26:01.422277, 价格: 16.835, 数量: 20
2020-07-10 22:26:03,833 - root - INFO - 卖单成交时间: 2020-07-10 22:26:03.833271, 价格: 16.835, 数量: 20
2020-07-10 22:30:51,895 - root - INFO - 卖单成交时间: 2020-07-10 22:30:51.895881, 价格: 16.886, 数量: 20
2020-07-10 22:37:05,347 - root - INFO - 买单成交时间: 2020-07-10 22:37:05.347474, 价格: 16.835, 数量: 20
2020-07-10 22:43:36,277 - root - INFO - 卖单成交时间: 2020-07-10 22:43:36.277109, 价格: 16.886, 数量: 20
2020-07-10 22:45:45,894 - root - INFO - 卖单成交时间: 2020-07-10 22:45:45.893961, 价格: 16.937, 数量: 20
2020-07-10 22:52:04,798 - root - INFO - 卖单成交时间: 2020-07-10 22:52:04.798837, 价格: 16.988, 数量: 20
